"","author","title","words","kind","total","appearance"
"157","Eliot, George","Adam Bede","Molly","person",2.35483870967742,31
"158","Eliot, George","Adam Bede","Moses","person",7.66666666666667,3
"159","Eliot, George","Adam Bede","Mr Aldophous Irwine","person",1.58787878787879,165
"160","Eliot, George","Adam Bede","Mr Arthur","person",4,6
"161","Eliot, George","Adam Bede","Mr Bartle Massey","person",2.28571428571429,105
"162","Eliot, George","Adam Bede","Mr Casson","person",3.64705882352941,17
"163","Eliot, George","Adam Bede","Mr Chowne","person",2,1
"164","Eliot, George","Adam Bede","Mr Craig","person",2.45161290322581,31
"165","Eliot, George","Adam Bede","Mr Donnithorne","person",2.15384615384615,13
"166","Eliot, George","Adam Bede","Mr Gawaine","person",3.25,4
"167","Eliot, George","Adam Bede","Mr James","person",1,1
"168","Eliot, George","Adam Bede","Mr Martin Poyser","person",3.17105263157895,152
"169","Eliot, George","Adam Bede","Mr Mills","person",7.66666666666667,3
"170","Eliot, George","Adam Bede","Mr Ryde","person",4.14285714285714,7
"171","Eliot, George","Adam Bede","Mr Wesley","person",4,5
"172","Eliot, George","Adam Bede","Mrs Irwine","person",3.31578947368421,19
"173","Eliot, George","Adam Bede","Mrs Rachel Poyser","person",1.9634703196347,219
"174","Eliot, George","Adam Bede","Nancy","person",2.42857142857143,14
"175","Eliot, George","Adam Bede","Nelson","person",1,2
"176","Eliot, George","Adam Bede","New Light","location",2,4
"177","Eliot, George","Adam Bede","Nice","location",2.25,24
"178","Eliot, George","Adam Bede","Nick","person",-1,2
"179","Eliot, George","Adam Bede","Oakbourne","location",1.08333333333333,12
"180","Eliot, George","Adam Bede","Objection","person",0.625,8
"181","Eliot, George","Adam Bede","Opera","person",0.75,4
"182","Eliot, George","Adam Bede","Paradise","person",8.5,4
"183","Eliot, George","Adam Bede","Paris","location",2.65714285714286,70
"184","Eliot, George","Adam Bede","Park","location",1.28571428571429,7
"185","Eliot, George","Adam Bede","Parliament","location",1.33333333333333,3
"186","Eliot, George","Adam Bede","Paul","person",1,5
"187","Eliot, George","Adam Bede","Pepper","person",6,1
"188","Eliot, George","Adam Bede","Pilgrim","person",9.5,4
"189","Eliot, George","Adam Bede","Pink","person",2.24,25
"190","Eliot, George","Adam Bede","Prince","location",0,1
"191","Eliot, George","Adam Bede","Providence","location",0,3
"192","Eliot, George","Adam Bede","Pug","person",1,5
"193","Eliot, George","Adam Bede","Queens","location",2,2
"194","Eliot, George","Adam Bede","Ralph","person",0,1
"195","Eliot, George","Adam Bede","Rector","location",3.89655172413793,29
"196","Eliot, George","Adam Bede","Richard","person",28,1
"197","Eliot, George","Adam Bede","Rome","location",4,2
"198","Eliot, George","Adam Bede","Romola","person",8,1
"199","Eliot, George","Adam Bede","Rose","person",0.745762711864407,59
"200","Eliot, George","Adam Bede","Rosseter","location",4.5,8
"201","Eliot, George","Adam Bede","Rosy","person",2,3
"202","Eliot, George","Adam Bede","Sally","person",5.66666666666667,3
"203","Eliot, George","Adam Bede","Sally Rann","person",12,1
"204","Eliot, George","Adam Bede","Salt","location",2.83333333333333,6
"205","Eliot, George","Adam Bede","San","location",3.56488549618321,131
"206","Eliot, George","Adam Bede","Sandy Jim","person",3.5,8
"207","Eliot, George","Adam Bede","Sara","person",2,2
"208","Eliot, George","Adam Bede","Sarah Stone","person",-2,1
"209","Eliot, George","Adam Bede","Saul","person",0.5,2
"210","Eliot, George","Adam Bede","Scorn","person",2.85714285714286,7
"211","Eliot, George","Adam Bede","Seth Bede","person",1.62890625,256
"212","Eliot, George","Adam Bede","Shepperton","location",5.5,2
"213","Eliot, George","Adam Bede","Sister Allen","person",-1,1
"214","Eliot, George","Adam Bede","Solomon","location",-7,2
"215","Eliot, George","Adam Bede","Solomon","person",-7,2
"216","Eliot, George","Adam Bede","South","location",2,6
"217","Eliot, George","Adam Bede","Squire Donnithorne","person",2.32,75
