"","author","title","words","kind","total","appearance"
"228","Eliot, George","Middlemarch","Mr Thesiger","person",1.75,8
"229","Eliot, George","Middlemarch","Mr Toller","person",0.263157894736842,19
"230","Eliot, George","Middlemarch","Mr Trumbull","person",1.59090909090909,22
"231","Eliot, George","Middlemarch","Mr Tyke","person",0.705882352941177,17
"232","Eliot, George","Middlemarch","Mr Vincy","person",2.63636363636364,77
"233","Eliot, George","Middlemarch","Mr Wrench","person",-2.30434782608696,23
"234","Eliot, George","Middlemarch","Mr. Camden Farebrother","person",1.32679738562091,153
"235","Eliot, George","Middlemarch","Mr. Dagley","person",0.714285714285714,21
"236","Eliot, George","Middlemarch","Mrs Abel","person",-0.785714285714286,14
"237","Eliot, George","Middlemarch","Mrs Bulstrode","person",1.28571428571429,56
"238","Eliot, George","Middlemarch","Mrs Cadwallader","person",2.04705882352941,85
"239","Eliot, George","Middlemarch","Mrs Carter","person",2.33333333333333,3
"240","Eliot, George","Middlemarch","Mrs Casaubon","person",2.44285714285714,70
"241","Eliot, George","Middlemarch","Mrs Dollop","person",-0.444444444444444,9
"242","Eliot, George","Middlemarch","Mrs Farebrother","person",3.68421052631579,19
"243","Eliot, George","Middlemarch","Mrs Garth","person",1.16091954022989,87
"244","Eliot, George","Middlemarch","Mrs Hackbutt","person",0.727272727272727,11
"245","Eliot, George","Middlemarch","Mrs Kell","person",-0.333333333333333,3
"246","Eliot, George","Middlemarch","Mrs Lemon","person",7.22222222222222,9
"247","Eliot, George","Middlemarch","Mrs Lydgate","person",3.3,20
"248","Eliot, George","Middlemarch","Mrs Mawmsey","person",0.875,8
"249","Eliot, George","Middlemarch","Mrs Mengan","person",3,1
"250","Eliot, George","Middlemarch","Mrs Plymdale","person",1.22727272727273,22
"251","Eliot, George","Middlemarch","Mrs Sprague","person",1.5,4
"252","Eliot, George","Middlemarch","Mrs Taft","person",1.25,4
"253","Eliot, George","Middlemarch","Mrs Vincy","person",1.55555555555556,54
"254","Eliot, George","Middlemarch","Mrs Waule","person",3.6,30
"255","Eliot, George","Middlemarch","Nancy Nash","person",-8.8,5
"256","Eliot, George","Middlemarch","Napoleon","person",-3,1
"257","Eliot, George","Middlemarch","Nash","person",-11,3
"258","Eliot, George","Middlemarch","New Jerusalem","location",-4,1
"259","Eliot, George","Middlemarch","New Light","location",-1,2
"260","Eliot, George","Middlemarch","New York","location",9,2
"261","Eliot, George","Middlemarch","Nice","location",2.34615384615385,26
"262","Eliot, George","Middlemarch","Nicholas Bulstrode","person",2.5,8
"263","Eliot, George","Middlemarch","Nick","person",1,9
"264","Eliot, George","Middlemarch","Objection","person",-0.975,40
"265","Eliot, George","Middlemarch","Opera","person",3.33333333333333,9
"266","Eliot, George","Middlemarch","Padua","location",0,1
"267","Eliot, George","Middlemarch","Paradise","person",-2.4,5
"268","Eliot, George","Middlemarch","Paris","location",2.68115942028985,69
"269","Eliot, George","Middlemarch","Park","location",1.90909090909091,11
"270","Eliot, George","Middlemarch","Parliament","location",2.61904761904762,21
"271","Eliot, George","Middlemarch","Paul","person",2.5,2
"272","Eliot, George","Middlemarch","Pepper","person",10,1
"273","Eliot, George","Middlemarch","Peru","location",-0.75,4
"274","Eliot, George","Middlemarch","Peter Featherstone","person",1.76086956521739,46
"275","Eliot, George","Middlemarch","Phoenix","location",6.5,2
"276","Eliot, George","Middlemarch","Pilgrim","person",2,3
"277","Eliot, George","Middlemarch","Pills","person",-8.5,2
"278","Eliot, George","Middlemarch","Pink","person",5.6875,16
"279","Eliot, George","Middlemarch","Pippin","person",-1,1
"280","Eliot, George","Middlemarch","Plutarch","person",12,1
