"","author","title","sentence_nr","words","kind","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","sentiment"
"14038","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Ellinor","person",0,20,0,0,10,0,20,0,10,20,20
"14039","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Monro","person",0,20,0,0,10,0,20,0,10,20,20
"14040","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Dixon","person",0,20,0,0,10,0,20,0,10,20,20
"14041","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Ellinor","location",0,20,0,0,10,0,20,0,10,20,20
"14042","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Miss Monro","person",0,20,0,0,10,0,20,0,10,20,20
"14043","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Dixon","location",0,20,0,0,10,0,20,0,10,20,20
"14044","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Hope","location",0,20,0,0,10,0,20,0,10,20,20
"14045","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Miss","person",0,20,0,0,10,0,20,0,10,20,20
"14046","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Miss","location",0,20,0,0,10,0,20,0,10,20,20
"14047","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9285,"Ann","person",0,20,0,0,10,0,20,0,10,20,20
"14048","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9286,NA,NA,1,1,1,1,1,1,1,0,1,1,0
"14049","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9288,NA,NA,1,0,0,1,0,1,0,0,0,3,-1
"14050","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9289,"John","person",3,0,3,12,0,6,3,6,0,0,-3
"14051","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9289,"Johnson","person",3,0,3,12,0,6,3,6,0,0,-3
"14052","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9289,"Mr Johnson","person",3,0,3,12,0,6,3,6,0,0,-3
"14053","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9290,"Ellinor","person",0,0,0,3,0,3,0,0,3,0,-3
"14054","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9290,"Mr Ness","person",0,0,0,3,0,3,0,0,3,0,-3
"14055","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9290,"Ellinor","location",0,0,0,3,0,3,0,0,3,0,-3
"14056","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9291,"Frank","person",0,0,0,0,0,0,8,0,0,16,8
"14057","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9291,"Frank Holster","person",0,0,0,0,0,0,8,0,0,16,8
"14058","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9291,"Holster","location",0,0,0,0,0,0,8,0,0,16,8
"14059","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9291,"Ford Bank","location",0,0,0,0,0,0,8,0,0,16,8
"14060","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9292,"Monro","person",6,0,12,12,0,24,0,24,6,6,-24
"14061","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9292,"Miss Monro","person",6,0,12,12,0,24,0,24,6,6,-24
"14062","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9292,"Ford Bank","location",6,0,12,12,0,24,0,24,6,6,-24
"14063","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9292,"Miss","person",6,0,12,12,0,24,0,24,6,6,-24
"14064","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9292,"Miss","location",6,0,12,12,0,24,0,24,6,6,-24
"14065","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9292,"Ann","person",6,0,12,12,0,24,0,24,6,6,-24
"14066","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9293,"Ellinor","person",2,2,0,2,2,0,4,0,0,4,4
"14067","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9293,"Ellinor","location",2,2,0,2,2,0,4,0,0,4,4
"14068","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9294,NA,NA,0,3,1,3,2,5,4,4,1,1,-1
"14069","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9295,"Don","person",7,0,14,14,0,14,7,14,0,0,-7
"14070","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9295,"Ellinor","person",7,0,14,14,0,14,7,14,0,0,-7
"14071","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9295,"Monro","person",7,0,14,14,0,14,7,14,0,0,-7
"14072","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9295,"Ellinor","location",7,0,14,14,0,14,7,14,0,0,-7
"14073","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9295,"Miss Monro","person",7,0,14,14,0,14,7,14,0,0,-7
"14074","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9295,"Miss","person",7,0,14,14,0,14,7,14,0,0,-7
"14075","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9295,"Miss","location",7,0,14,14,0,14,7,14,0,0,-7
"14076","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9296,"Monro","person",4,4,4,0,0,4,0,4,0,0,-4
"14077","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9296,"Miss Monro","person",4,4,4,0,0,4,0,4,0,0,-4
"14078","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9296,"Miss","person",4,4,4,0,0,4,0,4,0,0,-4
"14079","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9296,"Miss","location",4,4,4,0,0,4,0,4,0,0,-4
"14080","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9297,"Ellinor","person",0,16,8,0,24,8,32,16,16,16,24
"14081","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9297,"Mr Wilkins","person",0,16,8,0,24,8,32,16,16,16,24
"14082","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9297,"Mr Ness","person",0,16,8,0,24,8,32,16,16,16,24
"14083","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9297,"Wilkins","person",0,16,8,0,24,8,32,16,16,16,24
"14084","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9297,"Ellinor","location",0,16,8,0,24,8,32,16,16,16,24
"14085","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9297,"Ford Bank","location",0,16,8,0,24,8,32,16,16,16,24
"14086","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9297,"Hope","location",0,16,8,0,24,8,32,16,16,16,24
"14087","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9297,"Gal","person",0,16,8,0,24,8,32,16,16,16,24
"14088","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9298,NA,NA,0,0,0,0,0,1,0,0,0,1,-1
"14089","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9299,NA,NA,0,0,0,0,0,0,1,0,0,1,1
"14090","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9300,"Lent","person",2,0,2,0,0,4,0,0,0,0,-4
"14091","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9300,"King","person",2,0,2,0,0,4,0,0,0,0,-4
"14092","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9301,"Mr Wilkins","person",4,2,2,6,2,6,2,4,2,6,-4
"14093","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9301,"Wilkins","person",4,2,2,6,2,6,2,4,2,6,-4
"14094","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9302,NA,NA,0,0,0,1,1,0,1,0,1,0,1
"14095","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9303,"Dear","person",0,0,0,4,0,4,4,4,0,4,0
"14096","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9303,"Ellinor","person",0,0,0,4,0,4,4,4,0,4,0
